,utterance,classes,prompt,bigscience/T0pp
565,freeze my account it's been hacked,"['freeze account', 'hacked account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",freeze my account it's been hacked
566,there are transactions i didn't make someone else must have used my card,"['used card', 'used card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",must have used card.? i didn't make
567,can you freeze my card because someone used it while i was out of town i did not make these purchases,"['make purchases', 'make purchases']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make purchases. i did not make these purchases
568,someone is using my account to do online shopping! please freeze it asap,"['freeze shopping', 'online shopping', 'freeze shopping']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",freeze shopping online shopping. thanks. thx.
569,someone else may be using my card  there are transactions i don't recognize,"['using card', 'recognize transactions']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",recognize transactions. using card recognize transaction. use card
570,what do i do to stop unauthorized transactions on my card? i was never in the place from which the transactions on my bill were made and i never made them please help!,"['made transactions', 'unauthorized transactions', 'help bill']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",unauthorized transactions help bill.png?
571,what do i do if i think my card was improperly used?,['used card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accused fraudsters of using my card inappropriately
572,how can i stop fraud on my account right now?,"['stop fraud', 'stop account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",call customer services to stop fraud now..
573,i think my identity has been stolen can you check on unauthorized charges?,"['unauthorized charges', 'check charges']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",check charges unauthorized charges.complaintform
574,i think someone else is using my card  there are transactions i didn't make,"['using card', 'make transactions']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using card make transactions? UNK..
575,i don't recognize some of the transactions on my card i think someone must have gotten my card info and used it,"['used info', 'card info', 'used info']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",used card info in transaction to fraud victim is not possible
576,can i use app to freeze account and dispute fraud?,"['dispute fraud', 'dispute fraud']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",dispute fraud.com.au/homeapp
577,my card is being used online to make a bunch of purchases! someone else is using it fraudulently can you help me freeze it?,"['freeze bunch', 'freeze purchases']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",freeze purchases.. someone else is using it fraudulently can you help me freeze it.
578,someone has my card number freeze my account,"['freeze account', 'card number', 'freeze account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",freeze my account card number someone has my card
579,i see random purchases to my account was it hacked?,"['see purchases', 'random purchases', 'hacked account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",hacked account see purchases random purchases.
580,it seems someone used my card! there are a few transactions from a small town in the middle of nowhere that i definitely have not made! please prevent them from using it immediately!,"['using card', 'small town', 'using middle']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using card using middle small town. i definitely have not made!
581,how do i freeze my card using the app?,"['using app', 'using app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use app in store to freeze card using app
582,my card has been compromised,['compromised card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",compromised card. unsecured card hacking. credit card holder data breach. compromised credit
583,what should i do if i think that someone else may be using my card,"['using card', 'using card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using card.using card using bank card to buy.
584,the transactions showing up are strange i think my card was used without me knowing,['knowing card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transactions showing up are strange i think my card was used without me knowing
585,how do i freeze my account?,"['freeze account', 'freeze account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",freeze account with visa card in india by phone
586,i'm not certain but someone may be using my card,"['using card', 'using card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using card. i'm not certain but someone may be using my card
587,how do i freeze my card? i think someone is using it to make a bunch of online transactions,"['make bunch', 'online transactions', 'make transactions']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make transactions online transactions.. make bunch.
588,i think someone got my card details and used it because there are transactions i don't recognize what do i do now?,"['used details', 'card details', 'do transactions']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",used details card details do transactions.jpg i think someone got my card
589,someone else used my card!,"['used card', 'used card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",used card?....my card!?
590,i believe someone is using my card without my agreement!,"['using card', 'using agreement']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using card without agreement using agreement in a card
591,if i feel someone has my card information can i get a new card?,"['get card', 'card information', 'new card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card information new card get information? | thesaurus.com
592,there are a few transaction that i don't recognize i think someone managed to get my card details and use it,"['use details', 'card details', 'use details']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","use details is the best, and it appears to be the most logical."
593,i think someone has access to my card numbers that shouldn't,"['has access', 'card numbers', 'has numbers']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",has access to card numbers has numbers access is not good
594,i think my child used my card while i wasn't home,"['used card', 'used card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",used card while i wasn't home.
595,what do i do if i think someone managed to get my card information?,"['get information', 'card information', 'get information']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get information from a bank card..
596,i think someone copied the numbers on my card and is using them,"['using numbers', 'using card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using numbers using card.? i think someone copied the numbers on my card
597,what should i do if i think someone is using my card,"['using card', 'using card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using card. i should call the police
598,can i use app to freeze my card and dispute fraud?,"['dispute fraud', 'dispute fraud']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","dispute fraud. [substeps] It is the card is disputed, it is frozen."
599,someone else is using my card freeze it,"['freeze card', 'freeze card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",block card from use by others. freeze account.
600,do all atms take this card?,"['take card', 'take card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",take card.? - Stack Exchange network
601,which atms accept this card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card.php?card = tdb
602,where is the closest mastercard atm?,"['closest mastercard', ' mastercard']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",closest mastercard atm..select an option
603,is there a list of atm machines?,"['atm machines', ' machines']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",list of atm machines. a tnt at the machine
604,are there any specific atms that this card can be used at?,"['specific atms', 'used card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",specific atms used card..s
605,how do i know which atms will accept this card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card? accept credit card. accept debit card
606,which atm's accept my card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",atms accept cards for withdrawals and deposits
607,is there any nearby atm's?,['nearby atm'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",nearby atm's?. t
608,where are the locations of atms that accept this card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card. atm. locations. city
609,which atms accept this placard ?,"['accept placard', 'accept placard']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept placard.adamuwongming
610,help me locate the nearest atm,"['locate atm', 'nearest atm', 'locate atm']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",locate atm. i'm out of cash
611,what atms is the card okay to use at?,['use card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card atms. on the go.
612,how can i find the nearest atm?,"['find atm', 'nearest atm', 'find atm']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find atm nearest atp find mrt
613,what kind of atm's can i use?,['use atm'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find atm in the city center where it says at least $10
614,how can i withdraw money?,"['withdraw money', 'withdraw money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",withdraw money from bank accounts or ATMs.
615,how many miles away is the atm?,"['many miles', ' miles']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",miles many miles? meters miles miles or kilometers? miles
616,from where can i withdraw?,['withdraw '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",withdraw b money from an ATM machine.
617,which atm's will accept my card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card? accept my card. accept credit card
618,at what atms am i able to use the card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card.jpg atms in finland
619,can i use my card at any atms?,"['use card', 'use atms']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card atms.. any at
620,can i get cash with this card anywhere?,"['get cash', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card to pay cash anywhere. get cash
621,which atms accept this card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card (v.) accepts payment card and checks
622,can someone please assist me with finding my nearest atm?,"['finding ', 'nearest atm', 'finding ']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",nearest atm finding a cc
623,are there any atm machines near me?,"['atm machines', ' machines']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",machines atm cash point near me at night
624,where is the nearest bank machine?,"['bank machine', 'nearest machine', ' machine']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",nearest machine bank machine location map of banks
625,what type of atms accept this card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card.jpg accept the card.
626,where can i use this card at an atm?,"['use card', 'use atm']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card atm. use attm
627,if i have this card which atms can i go to?,"['have card', 'go atms']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have card go atms.png
628,what atms can i withdraw money from?,"['withdraw money', 'withdraw money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",withdraw money from an atm. what ats can i withdraw from.
629,i want to withdraw money where can i go?,"['withdraw money', 'go money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",withdrawal money go money.php?id=5&amp;cat=1
630,where can i withdrawal my money?,"['withdrawal money', 'withdrawal money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",withdrawal money.. thanksgiving savings. withdrawal check.
631,what are the atms that will accept this card?,"['accept card', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card.jpg accept credit card atm machine
632,what atms will accept this type of card?,"['accept type', 'accept card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept card? accept type? enter atm
633,where can i find an atm to use this card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card. <unk> / atm
634,at which atms can i use this card?,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card at a bank atm machine
635,are there certain atms that i can use this card at?,"['use card', 'certain atms', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",certain atms use card.com?
636,someone has taken my money and i don't know who,"['taken money', 'know money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",taken money know money?..?f=
637,i was charged on my account that shouldn't be there,['charged account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","charged account, charge, there, no?"
638,there's a direct debit i wish to dispute,"['direct debit', 'dispute debit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",dispute direct debit from bank account. online banking
639,why was my account deducted from a seller when i didn't approve of it?,['approve seller'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",approve seller.. thnx!
640,what do i do if i forget my passcode?  because i did,"['forget passcode', 'did passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",forgot passcode. what do i do
641,i can't find my password,"['find password', 'find password']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find password.svg password finder
642,how do i retrieve my passcode?,"['retrieve passcode', 'retrieve passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",retrieve passcode. Retrieve passcod.
643,my passcode doesn't seem to be working,['working passcode'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working passcode.jpg working password.png
644,i lost my password,"['lost password', 'lost password']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",lost password.php?remember_password=yes
645,my password isn't being accepted and i need to reset it,"['reset ', 'reset password']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset password.jpg. (2016-08-19)
646,something is wrong with my password,[' password'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",something is wrong with my password. encription
647,something is wrong with my passcode,[' passcode'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",passcode is wrong with my phone. i can't access my email or fb
648,how do i reset a forgotten passcode please?,"['reset passcode', 'forgotten passcode', 'forgotten passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset passcode forgotten passphrase.com password
649,i can't recall my passcode and need to reset it,"['reset passcode', 'reset passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset passcode? yes or no? explain
650,can i be given a new passcode?,"['given passcode', 'new passcode', 'given passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",given passcode new passphrase.com m
651,i do not know my passcode,"['know passcode', 'know passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",know passcode? know your pass code?
652,i don't remember my code to get into the app,"['remember code', 'get app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",remember code get app.. i don't remember the code.
653,i no longer have my passcode,"['have passcode', 'have passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have passcode? forget passphrase? want to have your password?
654,why won't my passcode work?,['work passcode'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",passcode won't work on pc
655,can i resent my passcode?,"['resent passcode', 'resent passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",ask for passcode resent to you
656,i need to reset my passcode how do i do it?,"['do passcode', 'do passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset password or passcode to your computer or pc
657,show me please how to reset my passcode,"['reset passcode', 'reset passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset passcode.com.ph.ut
658,help me reset the passcode,"['reset passcode', 'reset passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","reset passcode. Click on the device, select Settings, tap Passcode, and then on Reset."
659,i have forgotten my passcode to access my app,"['access app', 'access app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",access app without passcodes.. <unk>
660,what should i do if the passcode doesn't work for me?,['work passcode'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",forget passcode for me or work passphrase
661,i do not remember the code what should i do?,"['remember code', 'do code']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",remember code do code.jpg?auto=format
662,where can i reset the passcode?,"['reset passcode', 'reset passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset password. htc one
663,i need help resetting my passcode to access my app,"['access app', 'access app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",access app.com/app/reset
664,what steps do i take to receive another passcode?,"['receive passcode', 'receive passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive passcode? (computer) - wikipedia
665,i forgot my password,"['forgot password', 'forgot password']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",forgot password.txt forgot my password
666,i forgot my code to get into the app,"['forgot code', 'get app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",forgot code get app. i forgot my code to get into the app
667,i have forgotten my password,"['forgotten password', 'forgotten password']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",forgotten password.php and reset forgotten gmail password
668,i forgot the code to access the app,"['access app', 'access app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",access app.htm access the app
669,is there a way to reset my passcode?,"['reset passcode', 'reset passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset passcode? and how do I do that?
670,can you help me reset my password?,"['reset password', 'reset password']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset password.txt.png
671,can i reset my password?  i don't know what it is,"['reset password', 'know password']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",know password reset password..thank you so much
672,how do i reset the passcode?,"['reset passcode', 'reset passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",reset passcode? if this is correct then yes. then ctrl-r
673,what should i do if i forgot my passcode?,"['forgot passcode', 'forgot passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",forgot passcode yes and enter it here.
674,my passcode doesn't work,['work passcode'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",my passcode doesn't work. what should i do?
675,tell me how to reset the passcode,"['reset passcode', 'reset passcode']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find passcodes reset passphrases or password
676,i am still waiting for a money transfer to show,"['money transfer', 'show transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer show money transfer i am still waiting for
677,my transfer hasn't gone through yet,['gone transfer'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",gone transfer? gone. transfer?? gone through?
678,i am confused as to why my transfer could still be pending,['pending transfer'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pending transfer to another bank account. i am confused as to why my transfer could still be awaiting approval.
679,how long does it take for a money transfer to show?,"['money transfer', 'show transfer']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",transfer money to someone show transfer transfer to a bank account
680,can you remove my account please?,"['remove account', 'remove account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",remove account please. thank you! xxx
681,i want to close an account but im not sure about setting up a new one in the future what do you recommend,"['setting one', 'new one', 'recommend future']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",recommend future setting one new one...
682,my account needs to be deleted,['deleted account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",deleted account.com.au.website
683,i would like to delete my account please,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account yes or no? please choose the reason
684,what steps do i need to take to close my account?,"['close account', 'close account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","close account in online banking system, close my account"
685,i'm tired of all the problems i've had i want to quit this account!,"['quit account', 'quit account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",quit account..for good. quit the service.
686,please delete my account right now!,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account now!. idiom and slang
687,i want to close my account,"['close account', 'close account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",close bank account. delete account from sas pc
688,unhappy with you how to delete account,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account.. - wikipedia.
689,i would like to delete my account,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account and data from pc and phone
690,i am highly unsatisfied with this company and want to delete my account!,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account yes if i have no use for the company anymore
691,i don't like your company delete my account,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account and stop billing me forever! and never again!
692,i would like to close my account,"['close account', 'close account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",close account. ada account closing bbq t
693,this company is terrible! can you delete my account?,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account.. i hate this company
694,this company is bad please delete my account,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account. Delete account if this company is bad
695,please delete my account your services are not up to par,"['delete account', 'delete par']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account. par. delete par ac
696,i need your help in deleting my account,"['deleting account', 'deleting account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",deleting account.. thanks for the help
697,the service of this company sucks i need to terminate my account,"['terminate account', 'terminate account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",terminate account. cancel account at a bank
698,delete this account!,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account.com!. delete profile!
699,how do i get rid of my account asap?,['rid account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",how do i get rid of my account asap.
700,this company isn't good i would like to delete my account,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","delete account.swf, delete file."
701,can you delete my account please?,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account please.jpg?reqid=2540
702,i am not satisfied with your company and would like to delete my accounts!,"['delete accounts', 'delete accounts']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete accounts. delete account. remove accounts from computer
703,please delete my account i am not happy with the service from your company,"['delete account', 'delete company']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account i am not happy with the service from your company.
704,please terminate my account,"['terminate account', 'terminate account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",terminate account.svg terminated account
705,i am sick of this damn company and want to close out my account,"['close account', 'damn company', 'close account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",close account damn company.png damn damn
706,please close my account i am unsatisfied with your service,"['close account', 'close service']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",close account close service..thanks.
707,please delete my account,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account from website with user permissions deleted
708,your service is terrible  delete my account,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","delete account or something else? [substeps] For this to work, you have to delete your account with an online store. The reason is that your service is terrible."
709,i want my account deleted!,['deleted account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",deleted account. i want my account deleted!
710,i am extremely unhappy with this app and want to get rid of my account?,['rid account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",quit app account rid account of this app quitting this
711,how do i delete my account?,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account and other info from yahoo account
712,this company sucks! can you delete my account?,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account. mr. delete my account
713,i wish to close my account i do not like the service you provide,"['like service', 'provide service']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",like service provide service.s.vg
714,can you help me get rid of my account?,"['help ', 'rid account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",help me rid my account. i want it gone
715,i don't find your services useful anymore how do i delete my account?,"['delete account', 'delete account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account.png delete the account that no longer has value
716,please delete my account this company is not working for me!,"['delete account', 'working company']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account working company?.... i haven't paid my rent and bills yet
717,i want to delete my account i'm unhappy with the service you're providing,"['delete account', 'providing service']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delete account providing service i'm unhappy with
718,can you tell me how to close my account?,"['close account', 'close account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",close account quickly and easily with the help of these simple steps
719,this company sucks! can you terminate my account?,"['terminate account', 'terminate account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",cancel account with company I've never used
720,"what do i do if an atm ""stole"" my card?","['stole"" card', 'stole"" card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","steal"" card. reactivate card"
721,how do i retrieve my card from the machine?,"['retrieve card', 'retrieve machine']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",retrieve card retrieve machine.asp?
722,i was retrieving money and my card wouldn't remove,"['retrieving money', 'remove card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",remove card retrieving money.html.moz
723,what do i do since the machine swallowed my card i need one,"['need one', 'need one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need one.. i need my card back
724,how do i get my card back after the atm has pulled it in?,"['pulled card', 'pulled atm']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pulled atm pulled card.....
725,atm took my card,"['took card', 'took card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",take card cash withdrawal atm machine card reader
726,is there a way i can get my atm card back from the machine?,"['get card', 'atm card', 'get machine']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card back from machine atm card get machine
727,i think the atm ate my card,"['ate card', 'ate card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",took card away from me atm? no
728,the atm didn't give me the card back!,"['give card', 'give card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",give card back.jpg card cash back atm
729,how can i get my card out of the damn atm?,"['get card', 'damn atm', 'get atm']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",damn atm get card.jpg.... i can finally get my card out of the damn
730,the atm won't give my card back!,"['give card', 'give card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",give card back!. The atm won't give my card
731,how can i get my card back out?,"['get card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",pull card out from wallet or purse. take card from back of a card.
732,the atm machine stole my card,"['stole card', 'atm machine', 'stole card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stole card atm machine.. i don't understand
733,the atm at metro bank on high st kensington swallowed my card how do i get it back?,"['get card', 'st kensington', 'high kensington', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",kensington get card.com.br
734,my atm got stuck and i'm not sure what to do,['do atm'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get atm stuck help me out please.
735,the atm ate my card,"['ate card', 'ate card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",ate card. atm. eat card
736,the atm won't give me my card back,"['give card', 'give card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",give card back. give back card. withdraw money
737,my card was confiscated by an atm how do i get my card back?,"['get card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card back. i want back my card.
738,what do i do if the atm ate my card?,"['ate card', 'ate card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",ate my card? what do i do
739,atm still has my card,"['has card', 'has card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",had card still has card.said atm
740,what do i do if an atm ate my card?,"['ate card', 'ate card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",ate card.jpg??????? :-)
741,what happens if the atm doesn't give me back my card?,"['give card', 'give card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",give card back again. give me back my card
742,i can't pull my card out of the atm help me,"['help card', 'help atm']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",help me atm. thanks. <unk>
743,i have a problem!  the atm stole my card!,"['stole card', 'stole card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stole card.. i think the atm stole my card
744,why would an atm swallow my card?,"['swallow card', 'swallow card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",consume bank card in a machine or device
745,my card was taken by the atm,['taken card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",taken card. atm. taken money.
746,help!  the atm won't give me my card back,"['give card', 'give card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card back.give card.get card
747,the stupid machine just swallowed my card!! i need a new one asap,"['need one', 'new one', 'need one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need one new one.. asap.
