,utterance,classes,snli
827,can i use this account to receive my salary?,"['receive salary', 'receive salary']",Unknown
828,can i deposit my salary to this account?,"['deposit salary', 'deposit account']",deposit salary
829,how do i get my salary through this account?,"['get salary', 'get account']",get salary
830,what if i need my salary in a different currency?,"['need salary', 'different currency', 'need currency']",Unknown
831,i receive my salary in gbp do i need to configure this somehwere?,"['configure salary', 'configure salary']",configure salary
832,do you know if i can use this for my salary?,"['use ', 'use salary']",use salary
833,how do i get my paycheck through this?,"['get paycheck', 'get paycheck']",get paycheck
834,can i transfer my salary if it's in a different currency?,"['transfer salary', 'different currency', 'transfer currency']",Unknown
835,can i get paid in a different currency?,"['different currency', 'paid currency']",different currency
836,why didn't my transfer go through?,['go transfer'],go transfer
837,i've attempted to do a very standard transfer and have tried 5 times at this point can you tell me what the issue is? is the system down?,"['tell transfer', 'standard transfer', 'tell system']",standard transfer
838,can you provide a reason as to why my transfer did not work?,"['provide reason', 'work transfer']",provide reason
839,i tried to transfer money and it did not work,"['transfer money', 'work money']",transfer money
840,can i do a bank transfer to put additional money in my account because i am out of money?,"['put money', 'bank transfer', 'additional money', 'put money']",bank transfer
841,i'm out of money can i add money with my bank?,"['add money', 'add bank']",add money
842,how do i go forth on transferring money into my account?,"['transferring money', 'transferring account']",transferring money
843,i don't understand how to top up my account can you please explain the process?,"['explain process', 'explain process']",Unknown
844,i don't understand the money transfer process,"['understand process', 'transfer process', 'understand process']",transfer process
845,i need to transfer money into my account how do i go about doing this?,"['doing money', 'doing account']",doing money
846,what do i need to do to transfer money into my account?,"['transfer money', 'transfer account']",transfer money
847,i don't know what to do should i transfer funds my account is out of money,"['transfer funds', 'transfer money']",transfer funds
848,can i add funds to the card directly from my bank account?,"['add funds', 'bank account', 'add account']",Unknown
849,how does tranferring money into my account work?,"['tranferring money', 'work account']",tranferring money
850,i need to know how to transfer money into my bank account please help,"['transfer money', 'bank account', 'help account']",Unknown
851,i would like to transfer some money from my other bank account into this one,"['transfer money', 'bank account', 'other account', 'transfer one']",Unknown
852,when i want to transfer money to my account how can i do that?,"['do money', 'do account']",do money
853,i need to transfer funds into my account how can i do this?,"['do funds', 'do account']",do funds
854,what are the steps i follow to transfer money into my account?,"['transfer money', 'transfer account']",transfer money
855,how can i transfer funds from my bank to my top up account?,"['transfer funds', 'top account', 'top account']",Unknown
856,i want to top my account by using a bank transfer how would that work?,"['using transfer', 'bank transfer', 'work transfer']",using transfer
857,how to i transfer my funds into my account?,"['transfer funds', 'transfer account']",transfer funds
858,how do i top up my card?,"['top card', 'top card']",Unknown
859,how can i transfer money from an outside bank?,"['transfer money', 'outside bank', 'transfer bank']",Unknown
860,how can i fund my top-up account using my bank account?,"['using account', 'bank account', 'using account']",Unknown
861,what methods can i use to add money to my account?,"['add money', 'add account']",add money
862,i would like to use the bank transfer feature but i can't find it can you please give me the details?,"['give details', 'transfer feature', 'give details']",Unknown
863,how can i perform a dual money transferring from one account to another?,"['perform transferring', 'money transferring', 'dual transferring', 'perform account']",Unknown
864,can you explain how to transfer money into my  account for me?,"['transfer money', 'transfer account']",transfer money
865,i need to bank account transfer from another account into this one what is the easiest way that can be done and what information do i need?,"['account transfer', 'easiest way', 'need information']",account transfer
866,how do i transfer money to my account?,"['transfer money', 'transfer account']",transfer money
867,how do i send my account money through transfer?,"['send money', 'account money', 'send transfer']",Unknown
868,how do i do an international transfer?,"['do transfer', 'international transfer', 'do transfer']",international transfer
869,are there ways to transfer money into my account?,"['transfer money', 'transfer account']",transfer money
870,i want to transfer from accounts in order to top up what are the steps necessary,"['steps necessary', 'top steps']",steps necessary
871,how does a transfer work?,['work transfer'],work transfer
872,i would like use the bank transfer but i don't understand the process can you please explain topping up?,"['understand process', 'bank transfer', 'topping process']",bank transfer
873,i want to use bank transfer for topping up my account how is it handled?,"['topping account', 'bank transfer', 'handled account']",Unknown
874,i checked my account today and it said i was out of money how do i transfer money into my account?,"['transfer money', 'transfer account']",transfer money
875,how can i transfer money to my account?,"['transfer money', 'transfer account']",transfer money
876,is it possible to give a second card for this account to my daughter?,"['give card', 'second card', 'give daughter']",Unknown
877,my daughter needs a card can i give her one of mine that's linked to my account?,"['give card', 'linked account']",linked account
878,my child needs a card how can i add them to the account i currently have?,"['add card', 'have account']",have account
879,my daughter needs a card how do i add her?,"['add card', 'add card']",Unknown
880,can i top up by cheque?,['top '],top 
881,how do i top-up using cash?,"['using cash', 'using cash']",using cash
882,can i top up with a cheque?,['top cheque'],top cheque
883,is it possible to top up with cash? if so how do i do it?,"['do ', 'do cash']",do cash
884,can you help me find top up by cash deposit?,"['find top', 'cash deposit', 'find deposit']",cash deposit
885,is there an option to top up a with cheque?,"['top ', 'top cheque']",top cheque
886,need to deposit a cheque into my account,"['deposit cheque', 'deposit account']",deposit cheque
887,i'm looking for the cash deposit top up option but can't find it can you help me?,"['help ', 'cash deposit', 'top option', 'help option']",Unknown
888,how do i top up my account with a cash payment?,"['top account', 'cash payment', 'top payment']",Unknown
889,i'd like to use cash to top up how do i find that option?,"['find option', 'find option']",find option
890,where do i locate topping up with cash,['topping cash'],topping cash
891,how do i pay by check?,['pay check'],pay check
892,can i add to my account balance with a cheque?,"['account balance', 'add cheque']",account balance
893,what type of deposits do you accept into my account?,['accept account'],accept account
894,can i top up using a cheque?,"['using cheque', 'using cheque']",using cheque
895,can you top-up a card with a cheque?,"['topup card', 'topup cheque']",topup cheque
896,i need to top up cash how do i do it?,"['do cash', 'do cash']",do cash
897,i'm looking for the option to top up by cheque,['top cheque'],top cheque
898,what locations can i top up with cash?,['top cash'],top cash
899,i want to top up using cash where can i do that?,"['do cash', 'do cash']",do cash
900,is there a way to do top up with cash deposit,"['do top', 'cash deposit', 'do deposit']",Unknown
901,where are the options to top up with a cheque on my account?,['top account'],top account
902,can i use cash to top up my account?,"['top account', 'top account']",Unknown
903,how can i top up with cash?,['top cash'],Unknown
904,will you accept a cheque to top up my account?,"['top account', 'top account']",top account
905,how can i top up with this cheque i got?,['got cheque'],got cheque
906,what methods can i use to top up my account?,"['top account', 'top account']",Unknown
907,is cash good to top up with?,"['cash good', 'top cash']",cash good
908,how come i can't find anywhere to load using cash,"['using cash', 'using cash']",using cash
909,what can i pay with? does cash work?,"['does work', 'cash work', 'does work']",cash work
910,how do i deposit cash into my account?,"['deposit cash', 'deposit account']",deposit cash
911,why can't i top up with a cheque?,['top cheque'],Unknown
912,can i send a cheque to do my top ups?,"['do ups', 'top ups', 'do ups']",Unknown
913,can i top up my account with a cheque?,"['top account', 'top cheque']",top account
914,i want to do a cash top-up,"['do topup', 'cash topup', 'do topup']",Unknown
915,i have a cheque here can i use it to top off my account?,"['top account', 'top account']",Unknown
916,i need a physical card,"['need card', 'physical card', 'need card']",Unknown
917,what are the fees for a physical card?,"['physical card', ' card']",physical card
918,how do i get an actual card?,"['get card', 'actual card', 'get card']",Unknown
919,can i get a real card?,"['get card', 'real card', 'get card']",Unknown
920,why is my disposable virtual card being denied?,"['virtual card', 'denied card']",virtual card
921,my disposable virtual card doesn't seem to work,"['virtual card', 'work card']",virtual card
922,my disposable virtual card is broken,"['virtual card', ' card']",virtual card
923,my non-physical card will not work,"['nonphysical card', 'work card']",nonphysical card
924,why did the disposable virtual card which i used to pay a gym subscription get denied?,"['pay subscription', 'gym subscription', 'virtual card', 'denied subscription']",Unknown
925,why is my virtual card is being declined?,"['virtual card', 'declined card']",virtual card
926,are there restrictions for my disposable card since it does not seem to be working?,"['disposable card', 'working card']",disposable card
927,i cannot get my virtual card to work,"['virtual card', 'work card']",virtual card
928,i was at the store earlier and my virtual card didn't work what's the solution for this problem?,"['virtual card', 'work problem']",virtual card
929,my disposable virtual card will not work,"['virtual card', 'work card']",virtual card
930,i cannot use my disposable virtual card,"['use card', 'virtual card', 'use card']",virtual card
931,can i make multiple online transactions with my virtual card?,"['make transactions', 'virtual card', 'make card']",virtual card
932,why was my virtual card declined when attempting to setup automatic billing?,"['setup billing', 'automatic billing', 'setup billing']",Unknown
933,why doesn't my disposable virtual card work?,"['virtual card', 'work card']",virtual card
934,why can't i use my virtual card for subscription services?,"['use card', 'subscription services', 'virtual card', 'use services']",Unknown
935,why isn't my virtual card working?,"['virtual card', 'working card']",virtual card
936,i cannot make transactions with my virtual card,"['make transactions', 'virtual card', 'make card']",virtual card
937,for some reason the virtual card won't work for me,"['virtual card', 'work card']",virtual card
938,my disposable virtual card has been rejected by the merchant earlier today what should i do?,"['virtual card', 'do today']",virtual card
939,how can i fix a problem where my virtual card is rejected?,"['fix problem', 'virtual card', 'rejected card']",virtual card
940,my virtual card isn't working what do i do?,"['virtual card', 'do card']",virtual card
941,what do i do if my virtual card won't work,"['virtual card', 'work card']",virtual card
942,is there a trick to get the disposable virtual card to work?,"['virtual card', 'work card']",virtual card
943,why can't i get my virtual card to work?,"['virtual card', 'work card']",virtual card
944,my card is just not working at this time,['working time'],Unknown
945,my disposable card seems not to be working am i doing something wrong?,"['doing ', 'something wrong', 'doing card']",Unknown
946,my payments from my virtual card keep getting rejected,"['virtual card', 'rejected card']",virtual card
947,my disposable virtual card is not working when i try to use it at a point of sale transaction what do i do now?,"['use ', 'virtual card', 'do transaction']",virtual card
948,my transaction was just declined when i was using my disposable virtual card what can i do?,"['using card', 'virtual card', 'do card']",virtual card
949,my disposable virtual card is not working,"['virtual card', 'working card']",virtual card
950,how do i get my disposable virtual card to work?,"['virtual card', 'work card']",virtual card
951,how come my disposable virtual card used to pay for a gym subscription got rejected?,"['gym subscription', 'virtual card', 'rejected subscription']",Unknown
952,payments from my disposable virtual card don't work,"['virtual card', 'work card']",virtual card
953,my disposable virtual card was rejected by the merchant please help?,"['virtual card', 'help merchant']",virtual card
954,my virtual card won't work,"['virtual card', 'work card']",virtual card
955,tell me why my virtual disposable card won't work,"['tell ', 'disposable card', 'work card']",disposable card
956,how do you determine your exchange rates because one of yours was off when i got cash,"['got cash', 'exchange rates', 'got cash']",Unknown
957,i used the atm machine to get money out for holiday shopping and saw the outrageous charges why is that? i would not have used the atm if i had known!,"['used charges', 'holiday shopping', 'outrageous charges', 'known charges']",Unknown
958,the cash withdrawal exchange rate is not correct,"['exchange rate', ' rate']",exchange rate
959,is there a local atm that will provide british pounds i have no money for my homeward journey and do not feel comfortable waiting until  i arrive in britain will a withdrawal involve extra charges?,"['involve charges', 'extra charges', 'involve charges']",Unknown
960,can i get a description of how to use a disposable virtual card,"['use card', 'virtual card', 'use card']",virtual card
961,can i create a disposable virtual card?,"['create card', 'virtual card', 'create card']",Unknown
962,what can you tell me about getting a virtual disposable card?,"['getting card', 'disposable card', 'getting card']",Unknown
963,i would like to order a disposable virtual card how can i do this?,"['do card', 'virtual card', 'do card']",virtual card
964,how do vr cards work,"['vr cards', 'work cards']",vr cards
965,what is a disposable virtual card?,"['virtual card', ' card']",virtual card
966,i would like a temporary virtual card,"['like card', 'virtual card', 'like card']",Unknown
967,how do the disposable cards work?,"['disposable cards', 'work cards']",disposable cards
968,how do i use a disposable virtual card?,"['use card', 'virtual card', 'use card']",Unknown
969,where's the best place to get a disposable virtual card?,"['get card', 'virtual card', 'get card']",virtual card
970,can you explain the disposable cards to me?,"['explain cards', 'disposable cards', 'explain cards']",disposable cards
971,is there anyway i can get a disposable virtual card?,"['get card', 'virtual card', 'get card']",Unknown
972,i just purchased a disposable virtual card am i able to use it for online purchases immediately?,"['use card', 'online purchases', 'use purchases']",online purchases
973,how secure is a disposable virtual card,"['virtual card', ' card']",virtual card
974,what do i do to get a disposable virtual card?,"['get card', 'virtual card', 'get card']",Unknown
975,i want to get a disposable virtual card,"['get card', 'virtual card', 'get card']",Unknown
976,can you explain disposable cards?,"['explain cards', 'disposable cards', 'explain cards']",disposable cards
977,how do i get a virtual card for one time use,"['get card', 'time use', 'virtual card', 'get use']",Unknown
978,may i get a disposable virtual card as well?,"['get card', 'virtual card', 'get card']",Unknown
979,can i get a single use virtual card,"['get card', 'virtual card', 'get card']",Unknown
980,i would like to create a disposable virtual card how do i go about doing that?,"['doing card', 'virtual card', 'doing card']",virtual card
981,i have a disposable virtual card here so would you tell me what to do with it?,"['tell card', 'virtual card', 'do card']",virtual card
982,how does a virtual card work,"['virtual card', 'work card']",virtual card
983,what is the process of obtaining a disposable virtual card,"['obtaining card', 'virtual card', 'obtaining card']",Unknown
984,what does a disposable virtual card do?,"['virtual card', 'do card']",virtual card
985,when can i order a disposable virtual card?,"['order card', 'virtual card', 'order card']",Unknown
986,is it possible to also get a disposable virtual card?,"['get card', 'virtual card', 'get card']",Unknown
987,how do i obtain a disposable virtual card?,"['obtain card', 'virtual card', 'obtain card']",Unknown
988,how would you use a disposable card?,"['use card', 'disposable card', 'use card']",Unknown
989,i need a disposable virtual card how do i get one?,"['get one', 'virtual card', 'get one']",Unknown
990,how do disposable cards work?,"['disposable cards', 'work cards']",disposable cards
991,is there a disposable virtual card i can order?,"['virtual card', 'order card']",virtual card
992,where can i get a disposable virtual card?,"['get card', 'virtual card', 'get card']",Unknown
993,will i be able to get a disposable virtual card as well?,"['get card', 'virtual card', 'get card']",Unknown
994,hello! i need to order a disposable virtual card where can i do that at?,"['do card', 'virtual card', 'do card']",virtual card
995,where do i request a disposable virtual card?,"['request card', 'virtual card', 'request card']",Unknown
996,i would like to exchange currencies but is there an extra charge to do so?,"['exchange currencies', 'extra charge', 'do charge']",exchange currencies
997,does it cost anything for exchanges?,"['cost ', 'cost exchanges']",cost exchanges
998,can i exchange money from abroad without additional costs?,"['exchange money', 'additional costs', 'exchange costs']",Unknown
999,does it cost to exchange currencies?,"['exchange currencies', 'exchange currencies']",Unknown
1000,is there a fee for using a european bank card to top up?,"['using card', 'bank card', 'european card', 'top card']",Unknown
1001,are there any fees for adding money with an international card?,"['adding money', 'international card', 'adding card']",Unknown
1002,i was charged when i used a us issued card why and what cards are free to use to add money,"['add money', 'issued card', 'add money']",Unknown
1003,any hidden fees associated with the international card if money is added?,"['international card', 'added money']",international card
1004,will i get charged for topping off my card?,"['topping card', 'topping card']",topping card
1005,are there charges for topping up us cards?,"['topping cards', 'us cards', 'topping cards']",Unknown
1006,are there fees for top ups?,"['top ups', ' ups']", ups
1007,what are the charges for us cards with top up,"['us cards', ' top']",us cards
1008,is there an additional charge for topping up using a european card?,"['using card', 'european card', 'using card']",Unknown
1009,in exchange for top ups will you take fees?,"['take fees', 'top ups', 'take fees']",top ups
1010,i just topped off my card will i be charged for it?,"['topped card', 'charged card']",topped card
1011,how much does it cost to top up by card?,['top card'],top card
1012,are there any fees if i use a european bank card for a top up?,"['use card', 'bank card', 'european card', 'use top']",Unknown
1013,what are the top-up fees?,"['topup fees', ' fees']",topup fees
1014,how much is the charge to top up my card?,"['top card', 'top card']",Unknown
1015,how much can i expect to pay to top up a us card?,"['top card', 'us card', 'top card']",us card
1016,what fee is included if i top up by card?,['top card'],top card
1017,if i use a european bank card for top up do i get charged?,"['use card', 'bank card', 'european card', 'charged top']",Unknown
1018,will there be any extra fees for european bank card for top up?,"['bank card', 'european card', ' top']",european card
1019,will i be charged if i use european bank card for top up?,"['use card', 'bank card', 'european card', 'use top']",Unknown
1020,i want to use a european bank card for a top up must i pay?,"['use card', 'top up', 'european card', 'pay top']",Unknown
1021,will i be charged for topping up by card?,['topping card'],topping card
1022,is there a fee for topping up,['topping fee'],topping fee
1023,what do you charge for top ups?,"['top ups', 'charge ups']",charge ups
1024,will it cost anything to top up a us card?,"['top card', 'us card', 'top card']",us card
1025,does topping up my card have a fee?,"['have fee', 'have fee']",have fee
1026,are there fees for adding money using an international card,"['using card', 'international card', 'using card']",international card
1027,when using a us card what is the cost for a top up/off?,"['using card', 'top up/', 'using off']",using card
1028,i need to use a european card for a top up what will the charge be?,"['use card', 'european card', 'use charge']",european card
1029,is it okay to use a bank card to top up,"['use card', 'bank card', 'top card']",use card
1030,any fee for topping up?,['topping fee'],topping fee
1031,are there any fees for top ups?,"['top ups', ' ups']",top ups
1032,what are the fees of using an international card to add money?,"['add money', 'international card', 'add money']",Unknown
1033,is there a charge or discount if i use a european bank in a top up?,"['use bank', 'european bank', 'use top']",Unknown
1034,is their a fee for top ups?,"['top ups', ' ups']", ups
1035,can i top up using an international card,"['using card', 'international card', 'using card']",Unknown
1036,how do i top up with apple pay?,"['apple pay', 'top pay']",apple pay
1037,why isn't my top up working using my saved american express in applepay?,"['using ', 'american express', 'saved express', 'saved top']",Unknown
1038,how do i use the top up app with my apple watch?,"['use app', 'apple watch', 'top app', 'top watch']",apple watch
1039,google pay and top up i want it can i get it?,"['get ', 'google pay', 'get pay']",google pay
1040,what can i use to verify my identify?,"['verify identify', 'verify identify']",verify identify
1041,what do you need to verify my identity?,"['verify identity', 'verify identity']",verify identity
1042,i need to verify my identity but how do i do that?,"['do identity', 'do identity']",Unknown
1043,how can i verify my indentity?,"['verify indentity', 'verify indentity']",verify indentity
1044,what is needed to prove my identity?,"['prove identity', 'prove identity']",prove identity
1045,what do you need for my identity check?,"['identity check', 'need check']",identity check
1046,how do you verify an identity?,"['verify identity', 'verify identity']",Unknown
1047,is there a specific type you need for identity verification?,"['identity verification', 'specific type', 'need verification']",Unknown
1048,i got a message that i need to verify my identity; what do i do?,"['verify identity;', 'do identity;']",verify identity;
1049,are there any documents needed for the identity check?,"['identity check', 'needed check']",identity check
1050,what are the steps i need to take to verify my identity?,"['verify identity', 'verify identity']",Unknown
1051,what do i need to verify my identity,"['verify identity', 'verify identity']",Unknown
1052,i need to verify my identity,"['verify identity', 'verify identity']",verify identity
1053,i need some help with identity verification,"['need help', 'identity verification', 'need verification']",Unknown
1054,what's the process for id verification?,"['d verification', ' verification']", verification
1055,i would like to know how i can verify my identity,"['verify identity', 'verify identity']",Unknown
1056,what kind of documents do i need for the identity check?,"['identity check', 'need check']",identity check
1057,let me know the steps for the identity checks,"['know steps', 'identity checks', 'know checks']",identity checks
1058,what should i do to verify my identity?,"['verify identity', 'verify identity']",verify identity
1059,what are the steps to verify my identity?,"['verify identity', 'verify identity']",Unknown
1060,how does my identity get verified?,['verified identity'],verified identity
1061,what things do i need to verify my identity?,"['verify identity', 'verify identity']",verify identity
1062,what steps do i take to verify my identity?,"['verify identity', 'verify identity']",Unknown
1063,can i verify my identity online?,"['verify identity', 'verify identity']",verify identity
1064,do the details of my profile have to match my documents,"['match documents', 'match documents']",Unknown
1065,where do i verify my identity?,"['verify identity', 'verify identity']",Unknown
1066,when getting my id checked what are the steps involved?,"['i d', 'involved steps']",involved steps
1067,do i need anything for the identity check?,"['need ', 'identity check', 'need check']",identity check
1068,which kind of documentation do i need for identity check?,"['identity check', 'need check']",identity check
1069,how do i go forth on verifying my identity?,"['verifying identity', 'verifying identity']",verifying identity
1070,what can i do to verify my identity?,"['verify identity', 'verify identity']",verify identity
1071,what do you need so i can verify my identity?,"['verify identity', 'verify identity']",verify identity
1072,what do i need to show who i am?,['show '],Unknown
1073,do i need any kind of documentation for the identity check?,"['need kind', 'identity check', 'need check']",identity check
1074,what will i need for identity verification?,"['identity verification', 'need verification']",need verification
1075,is there any way to verify who i am?,['verify way'],Unknown
